DESCRIÇÃO,UNIDADE,UF,Preço.Entregue,Preço.Final,REF,PEI,Região
Pedreiro,h,RJ,10.47,10.47,202201,MDO,Sudeste
Pintor,h,ES,10.47,10.47,202201,MDO,Sudeste
Pintor,h,MG,10.47,10.47,202201,MDO,Sudeste
Pintor,h,RJ,10.47,10.47,202201,MDO,Sudeste
Pintor,h,SP,10.47,10.47,202201,MDO,Sudeste
Serralheiro,h,ES,10.47,10.47,202201,MDO,Sudeste
Serralheiro,h,MG,10.47,10.47,202201,MDO,Sudeste
Serralheiro,h,RJ,10.47,10.47,202201,MDO,Sudeste
Serralheiro,h,SP,10.47,10.47,202201,MDO,Sudeste
Auxiliar de laboratório,mês,ES,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de laboratório,mês,MG,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de laboratório,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de laboratório,mês,SP,2303.4,2303.4,202201,MDO,Sudeste
Frentista de túnel,h,RJ,10.47,10.47,202201,MDO,Sudeste
Frentista de túnel com periculosidade,h,RJ,10.47,10.47,202201,MDO,Sudeste
Eletricista com periculosidade,h,RJ,10.47,10.47,202201,MDO,Sudeste
Auxiliar de topografia,mês,ES,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de topografia,mês,MG,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de topografia,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Auxiliar de topografia,mês,SP,2303.4,2303.4,202201,MDO,Sudeste
Pedreiro - mensalista,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Eletricista - mensalista,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Trabalhador de via,h,PA,5.5091,5.5091,202201,MDO,Norte
Eletricista - mensalista,mês,TO,2061.182,2061.182,202201,MDO,Norte
Eletricista,h,TO,9.369,9.369,202201,MDO,Norte
Eletricista com periculosidade,h,TO,9.369,9.369,202201,MDO,Norte
Encarregado geral,mês,AC,3670.283,3670.283,202201,MDO,Norte
Operador de equipamento especial,h,RR,15.4656,15.4656,202201,MDO,Norte
Operador de equipamento especial com periculosidade,h,RR,15.4656,15.4656,202201,MDO,Norte
Comandante de longo curso,mês,AC,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,AL,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,AM,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,AP,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,BA,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,CE,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,DF,9884.242,9884.242,202201,MDO,Centro-Oeste
Comandante de longo curso,mês,ES,9884.242,9884.242,202201,MDO,Sudeste
Comandante de longo curso,mês,GO,9884.242,9884.242,202201,MDO,Centro-Oeste
Comandante de longo curso,mês,MA,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,MG,9884.242,9884.242,202201,MDO,Sudeste
Comandante de longo curso,mês,MS,9884.242,9884.242,202201,MDO,Centro-Oeste
Comandante de longo curso,mês,MT,9884.242,9884.242,202201,MDO,Centro-Oeste
Comandante de longo curso,mês,PA,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,PB,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,PE,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,PI,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,PR,9884.242,9884.242,202201,MDO,Sul
Comandante de longo curso,mês,RJ,9884.242,9884.242,202201,MDO,Sudeste
Comandante de longo curso,mês,RN,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,RO,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,RR,9884.242,9884.242,202201,MDO,Norte
Comandante de longo curso,mês,RS,9884.242,9884.242,202201,MDO,Sul
Comandante de longo curso,mês,SC,9884.242,9884.242,202201,MDO,Sul
Comandante de longo curso,mês,SE,9884.242,9884.242,202201,MDO,Nordestes
Comandante de longo curso,mês,SP,9884.242,9884.242,202201,MDO,Sudeste
Comandante de longo curso,mês,TO,9884.242,9884.242,202201,MDO,Norte
Operador de equipamento pesado,h,RJ,11.33,11.33,202201,MDO,Sudeste
Operador de equipamento pesado com periculosidade,h,RJ,11.33,11.33,202201,MDO,Sudeste
Eletricista - mensalista,mês,MG,1865.509,1865.509,202201,MDO,Sudeste
Eletricista,h,MG,8.4796,8.4796,202201,MDO,Sudeste
Eletricista com periculosidade,h,MG,8.4796,8.4796,202201,MDO,Sudeste
Maquinista,h,GO,11.6227,11.6227,202201,MDO,Centro-Oeste
Carpinteiro,h,RS,8.31,8.31,202201,MDO,Sul
Eletricista - mensalista,mês,CE,1923.036,1923.036,202201,MDO,Nordestes
Eletricista,h,CE,8.7411,8.7411,202201,MDO,Nordestes
Eletricista com periculosidade,h,CE,8.7411,8.7411,202201,MDO,Nordestes
Encarregado especializado,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de obras de artes especiais,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de terraplenagem,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de pavimentação,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de superestrutura ferroviária,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de conservação rodoviária,mês,MT,3695.948,3695.948,202201,MDO,Centro-Oeste
Encarregado de turma,mês,RR,3075.65,3075.65,202201,MDO,Norte
Encarregado geral,mês,PI,6272.619,6272.619,202201,MDO,Nordestes
Motorista de veículo especial,h,AM,11.6422,11.6422,202201,MDO,Norte
Motorista de veículo especial com periculosidade,h,AM,11.6422,11.6422,202201,MDO,Norte
Encarregado geral,mês,MT,5442.569,5442.569,202201,MDO,Centro-Oeste
Eletricista,h,MS,8.3037,8.3037,202201,MDO,Centro-Oeste
Eletricista com periculosidade,h,MS,8.3037,8.3037,202201,MDO,Centro-Oeste
Eletricista - mensalista,mês,MS,1826.815,1826.815,202201,MDO,Centro-Oeste
Eletricista,h,RN,8.3258,8.3258,202201,MDO,Nordestes
Eletricista com periculosidade,h,RN,8.3258,8.3258,202201,MDO,Nordestes
Eletricista - mensalista,mês,RN,1831.67,1831.67,202201,MDO,Nordestes
Servente - mensalista,mês,RN,1251.14,1251.14,202201,MDO,Nordestes
Vigia,mês,RN,1377.76,1377.76,202201,MDO,Nordestes
Pedreiro - mensalista,mês,RN,1594.37,1594.37,202201,MDO,Nordestes
Recepcionista,mês,DF,1806.353,1806.353,202201,MDO,Centro-Oeste
Recepcionista,mês,GO,1806.353,1806.353,202201,MDO,Centro-Oeste
Recepcionista,mês,MS,1806.353,1806.353,202201,MDO,Centro-Oeste
Recepcionista,mês,MT,1806.353,1806.353,202201,MDO,Centro-Oeste
Motorista de caminhão,h,RN,9.9789,9.9789,202201,MDO,Nordestes
Motorista de caminhão com periculosidade,h,RN,9.9789,9.9789,202201,MDO,Nordestes
Servente,h,RN,5.687,5.687,202201,MDO,Nordestes
Servente com periculosidade,h,RN,5.687,5.687,202201,MDO,Nordestes
Operador de equipamento leve,h,RN,6.9782,6.9782,202201,MDO,Nordestes
Operador de equipamento leve com periculosidade,h,RN,6.9782,6.9782,202201,MDO,Nordestes
Operador de equipamento leve com insalubridade,h,RN,6.9782,6.9782,202201,MDO,Nordestes
Servente,h,PI,5.5091,5.5091,202201,MDO,Nordestes
Servente com periculosidade,h,PI,5.5091,5.5091,202201,MDO,Nordestes
Servente - mensalista,mês,PI,1212.0,1212.0,202201,MDO,Nordestes
Carpinteiro,h,RN,7.2471,7.2471,202201,MDO,Nordestes
Pedreiro,h,RN,7.2471,7.2471,202201,MDO,Nordestes
Carpinteiro,h,MG,7.84,7.84,202201,MDO,Sudeste
Maquinista,h,BA,11.4494,11.4494,202201,MDO,Nordestes
Eletricista com periculosidade,h,RO,8.0273,8.0273,202201,MDO,Norte
Encarregado de turma,mês,MT,2317.51,2317.51,202201,MDO,Centro-Oeste
Chefe setor de finanças,mês,DF,7659.864,7659.864,202201,MDO,Centro-Oeste
Chefe setor de finanças,mês,GO,7659.864,7659.864,202201,MDO,Centro-Oeste
Chefe setor de finanças,mês,MS,7659.864,7659.864,202201,MDO,Centro-Oeste
Chefe setor de finanças,mês,MT,7659.864,7659.864,202201,MDO,Centro-Oeste
Copeiro,mês,AL,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,BA,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,CE,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,MA,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,PB,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,PE,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,PI,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,RN,1641.49,1641.49,202201,MDO,Nordestes
Copeiro,mês,SE,1641.49,1641.49,202201,MDO,Nordestes
Eletricista,h,PE,8.7735,8.7735,202201,MDO,Nordestes
Eletricista com periculosidade,h,PE,8.7735,8.7735,202201,MDO,Nordestes
Eletricista - mensalista,mês,PE,1930.166,1930.166,202201,MDO,Nordestes
Eletricista,h,SP,10.2962,10.2962,202201,MDO,Sudeste
Eletricista com periculosidade,h,SP,10.2962,10.2962,202201,MDO,Sudeste
Eletricista - mensalista,mês,SP,2265.167,2265.167,202201,MDO,Sudeste
Eletricista - mensalista,mês,RO,1768.763,1768.763,202201,MDO,Norte
Eletricista,h,RO,8.0398,8.0398,202201,MDO,Norte
Soldador,h,AL,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,BA,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,CE,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,MA,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,PB,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,PE,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,PI,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,RN,12.7342,12.7342,202201,MDO,Nordestes
Soldador,h,SE,12.7342,12.7342,202201,MDO,Nordestes
Pedreiro,h,PE,8.53,8.53,202201,MDO,Nordestes
Servente,h,RR,5.5091,5.5091,202201,MDO,Norte
Trabalhador de via,h,RR,5.5091,5.5091,202201,MDO,Norte
Servente com periculosidade,h,RR,5.5091,5.5091,202201,MDO,Norte
Servente - mensalista,mês,RR,1212.0,1212.0,202201,MDO,Norte
Ajudante,h,CE,6.2184,6.2184,202201,MDO,Nordestes
Pré-marcador,h,CE,6.2184,6.2184,202201,MDO,Nordestes
Selecionador de material pétreo,h,CE,6.2184,6.2184,202201,MDO,Nordestes
Frentista de túnel,h,CE,6.2184,6.2184,202201,MDO,Nordestes
Frentista de túnel com periculosidade,h,CE,6.2184,6.2184,202201,MDO,Nordestes
Ajudante especializado,h,CE,7.4621,7.4621,202201,MDO,Nordestes
Pedreiro - mensalista,mês,PE,1876.852,1876.852,202201,MDO,Nordestes
Ajudante especializado,h,AM,7.9323,7.9323,202201,MDO,Norte
Ajudante,h,AM,6.6102,6.6102,202201,MDO,Norte
Pré-marcador,h,AM,6.6102,6.6102,202201,MDO,Norte
Selecionador de material pétreo,h,AM,6.6102,6.6102,202201,MDO,Norte
Frentista de túnel,h,AM,6.6102,6.6102,202201,MDO,Norte
Frentista de túnel com periculosidade,h,AM,6.6102,6.6102,202201,MDO,Norte
Perfurador de tubulão a ar comprimido com insalubridade,h,AM,6.6132,6.6132,202201,MDO,Norte
Perfurador de tubulão,h,AM,6.6132,6.6132,202201,MDO,Norte
Perfurador de tubulão a ar comprimido com insalubridade,h,CE,6.2219,6.2219,202201,MDO,Nordestes
Perfurador de tubulão,h,CE,6.2219,6.2219,202201,MDO,Nordestes
Trabalhador de via,h,RN,5.5091,5.5091,202201,MDO,Nordestes
Motorista de caminhão,h,MT,8.7826,8.7826,202201,MDO,Centro-Oeste
Motorista de caminhão com periculosidade,h,MT,8.7826,8.7826,202201,MDO,Centro-Oeste
Trabalhador de via,h,PB,5.5091,5.5091,202201,MDO,Nordestes
Encarregado geral,mês,AP,6195.846,6195.846,202201,MDO,Norte
Apontador,mês,RR,1489.5,1489.5,202201,MDO,Norte
Operador de equipamento pesado,h,MT,10.238,10.238,202201,MDO,Centro-Oeste
Operador de equipamento pesado com periculosidade,h,MT,10.238,10.238,202201,MDO,Centro-Oeste
Oficial de máquinas,mês,AC,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,AL,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,AM,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,AP,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,BA,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,CE,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,DF,2545.377,2545.377,202201,MDO,Centro-Oeste
Oficial de máquinas,mês,ES,2545.377,2545.377,202201,MDO,Sudeste
Oficial de máquinas,mês,GO,2545.377,2545.377,202201,MDO,Centro-Oeste
Oficial de máquinas,mês,MA,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,MG,2545.377,2545.377,202201,MDO,Sudeste
Oficial de máquinas,mês,MS,2545.377,2545.377,202201,MDO,Centro-Oeste
Oficial de máquinas,mês,MT,2545.377,2545.377,202201,MDO,Centro-Oeste
Oficial de máquinas,mês,PA,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,PB,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,PE,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,PI,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,PR,2545.377,2545.377,202201,MDO,Sul
Oficial de máquinas,mês,RJ,2545.377,2545.377,202201,MDO,Sudeste
Oficial de máquinas,mês,RN,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,RO,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,RR,2545.377,2545.377,202201,MDO,Norte
Oficial de máquinas,mês,RS,2545.377,2545.377,202201,MDO,Sul
Oficial de máquinas,mês,SC,2545.377,2545.377,202201,MDO,Sul
Oficial de máquinas,mês,SE,2545.377,2545.377,202201,MDO,Nordestes
Oficial de máquinas,mês,SP,2545.377,2545.377,202201,MDO,Sudeste
Oficial de máquinas,mês,TO,2545.377,2545.377,202201,MDO,Norte
Motorista de veículo especial,h,MT,10.7854,10.7854,202201,MDO,Centro-Oeste
Motorista de veículo especial com periculosidade,h,MT,10.7854,10.7854,202201,MDO,Centro-Oeste
Encarregado especializado,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Encarregado de obras de artes especiais,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Encarregado de terraplenagem,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Encarregado de pavimentação,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Encarregado de superestrutura ferroviária,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Encarregado de conservação rodoviária,mês,SE,3711.055,3711.055,202201,MDO,Nordestes
Engenheiro chefe,mês,SC,19165.57,19165.57,202201,MDO,Sul
Engenheiro chefe,mês,PR,19157.89,19157.89,202201,MDO,Sul
Engenheiro chefe,mês,RS,19142.97,19142.97,202201,MDO,Sul
Eletricista,h,AL,8.0741,8.0741,202201,MDO,Nordestes
Eletricista com periculosidade,h,AL,8.0741,8.0741,202201,MDO,Nordestes
Eletricista - mensalista,mês,AL,1776.297,1776.297,202201,MDO,Nordestes
